ticker
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
JPM
V
UNH
LLY
JNJ
XOM
HD
PG
BAC
COST
MA
MRK
ORCL
CSCO
ADBE
PEP
KO
ABBV
CVX
WMT
ACN
MCD
CRM
TMO
INTU
LIN
TXN
IBM
QCOM
AMD
AMGN
HON
NOW
PM
CAT
GS
MS
SBUX
LOW
MDT
RTX
GE
BKNG
DE
ADI
ISRG
SCHW
SPGI
PLD
ELV
BLK
ADP
LMT
PFE
MO
ETN
GILD
BA
ZTS
CCI
TGT
FISV
CSX
MU
MMC
PANW
REGN
NKE
KDP
MDLZ
NFLX
APD
CL
CI
BDX
C
SO
DUK
DHR
AMAT
LRCX
KLAC
SNPS
CDNS
VRTX
ORLY
ROST
MAR
AEP
EXC
PGR
CMCSA
BK
USB
FDX
