date,hour_et,open,high,low,close,volume,ret_63h,ret_126h,ret_252h,ema_50,ema_200,ema50_slope1h,rsi_21,rsi_50,atr_14,roll_std_20,momentum_score_total,ret_fwd_63d,y,y_syn
2023-01-03,4,384.0,386.83,384.0,386.83,146402.0,0.0,0.0,0.0,386.83,386.83,0.0,0.0,0.0,2.829999999999984,0.0,0.0,,FLAT,FLAT
2023-01-03,5,386.63,386.64,385.62,386.06,115731.0,0.0,0.0,0.0,386.7998039215686,386.82233830845774,-0.03019607843140193,0.0,0.0,2.714285714285698,0.0,0.0,,FLAT,FLAT
2023-01-03,6,385.9,386.0,383.52,383.96,129478.0,0.0,0.0,0.0,386.68843906189926,386.79385733026413,-0.11136485966932241,0.0,0.0,2.701836734693864,0.0,0.0,,FLAT,FLAT
2023-01-03,7,383.95,384.44,383.34,384.31,401021.0,0.0,0.0,0.0,386.5951669418248,386.76914233195305,-0.09327212007445951,2.056807051907512,0.8886992997039016,2.5874198250728755,0.0,0.0,,FLAT,FLAT
2023-01-03,8,383.53,386.7204,382.77,384.69,897999.0,0.0,0.0,0.0,386.52045451273364,386.7484543485505,-0.07471242909116427,4.300725400496191,1.855000439758527,2.6847755518533845,0.0,0.0,,FLAT,FLAT
2023-01-03,9,384.66,386.43,381.6601,381.71,9847162.0,0.0,0.0,0.0,386.3318092377244,386.6983204744356,-0.18864527500920758,3.6181623052501664,1.7207505823190843,2.833713012435286,0.0,0.0,,FLAT,FLAT
2023-01-03,10,381.77,382.58,380.07,382.04,12417780.0,0.0,0.0,0.0,386.1635029931078,386.6519690269288,-0.16830624461664456,5.364554947641025,2.517948356261769,2.810590654404194,0.0,0.0,,FLAT,FLAT
2023-01-03,11,382.0499,382.33,378.65,379.07,10173982.0,0.0,0.0,0.0,385.8853264051428,386.5765265490489,-0.27817658796499245,4.580276631989676,2.3433807943829237,2.872691321946752,0.0,0.0,,FLAT,FLAT
2023-01-03,12,379.11,380.02,377.831,378.61,6329921.0,0.0,0.0,0.0,385.6000194872941,386.49725762816286,-0.2853069178486862,4.47390784061092,2.3179826368194796,2.8238562275219814,0.0,0.0,,FLAT,FLAT
2023-01-03,13,378.63,379.99,378.34,379.83,5667761.0,0.0,0.0,0.0,385.3737442132826,386.43091675624083,-0.22627527401152747,10.27647457143594,5.101504254691406,2.7400093541275563,0.0,0.0,,FLAT,FLAT
2023-01-03,14,379.84,380.75,378.09,380.0399,7717424.0,0.0,0.0,0.0,385.1645738519774,386.3673245497111,-0.20917036130515498,11.250357274118599,5.573891975627774,2.734294400261304,0.0,0.0,,FLAT,FLAT
2023-01-03,15,380.02,381.3,379.82,380.84,13545784.0,0.0,0.0,0.0,384.99498272052733,386.31232629548515,-0.16959113145009042,14.945398333196508,7.367422516215214,2.6447019430997836,0.0,0.0,,FLAT,FLAT
2023-01-03,16,380.84,380.93,380.16,380.69,5530349.0,0.0,0.0,0.0,384.82615986874197,386.2563827502565,-0.1688228517853645,14.823905244499912,7.340749140489848,2.510794661449798,0.0,0.0,,FLAT,FLAT
2023-01-03,17,380.61,380.7,380.48,380.61,37817.0,0.0,0.0,0.0,384.66082026604624,386.2001998373186,-0.1653396026957239,14.756728001216075,7.326314014231116,2.347166471346239,0.0,0.0,,FLAT,FLAT
2023-01-03,18,380.58,380.79,380.31,380.79,103833.0,0.0,0.0,0.0,384.50902339286796,386.14636700311644,-0.15179687317828439,15.659684002363463,7.742834869839328,2.213797437678652,0.0,0.0,,FLAT,FLAT
2023-01-03,19,380.79,381.11,380.63,380.77,116968.0,0.0,0.0,0.0,384.3623950245202,386.09287081403073,-0.14662836834776272,15.64035542521674,7.7388912914687324,2.0899547635587497,0.0,0.0,,FLAT,FLAT
