date,hour_et,calls_sold_d-5,puts_sold_d-5,calls_premium_d-5,puts_premium_d-5,calls_sold_d-4,puts_sold_d-4,calls_premium_d-4,puts_premium_d-4,calls_sold_d-3,puts_sold_d-3,calls_premium_d-3,puts_premium_d-3,calls_sold_d-2,puts_sold_d-2,calls_premium_d-2,puts_premium_d-2,calls_sold_d-1,puts_sold_d-1,calls_premium_d-1,puts_premium_d-1,calls_sold_d0,puts_sold_d0,calls_premium_d0,puts_premium_d0,calls_sold_d1,puts_sold_d1,calls_premium_d1,puts_premium_d1,calls_sold_d2,puts_sold_d2,calls_premium_d2,puts_premium_d2,calls_sold_d3,puts_sold_d3,calls_premium_d3,puts_premium_d3,calls_sold_d4,puts_sold_d4,calls_premium_d4,puts_premium_d4,calls_sold_d5,puts_sold_d5,calls_premium_d5,puts_premium_d5,spy_prev_close,close,day_of_week,calls_sold_total,puts_sold_total,pc_ratio,imbalance,calls_premium_total,puts_premium_total,dealer_sold_premium_imbalance,ret_next_hour,y_syn,y
2024-07-02,12,125.0,5420.0,71174.01000000001,14315.34,84.0,9161.0,40320.99,43463.74,330.0,6797.0,127861.98999999999,46616.9,881.0,13630.0,241301.92,173448.81,2016.0,30374.0,367180.92,813455.6900000001,28208.0,52327.0,3054342.55,2662604.12,44993.0,32516.0,2367331.6,3008486.33,28152.0,1947.0,555109.56,315545.09,43576.0,1026.0,270821.18,258288.26,5274.0,596.0,13472.730000000001,207562.05,4433.0,477.0,5183.349999999999,214620.61999999997,545.34,546.0,1,158072.0,154271.0,0.9759539956477051,3801.0,7114100.800000001,7758406.949999999,0.0433219575898325,0.002335164835164789,UP,UP
2024-07-02,13,107.0,4316.0,69995.06999999999,5813.82,38.0,7875.0,22143.0,12598.23,323.0,10789.0,152824.05,29895.12,649.0,15764.0,238204.7,67411.52,1341.0,28114.0,368760.15,220384.31,9511.0,46821.0,1735516.27,728152.47,41156.0,79524.0,4047063.67,2485923.07,81206.0,58879.0,3874332.9,3863932.07,56051.0,4950.0,998469.4500000001,603309.01,61898.0,813.0,293348.74,179667.04,7203.0,142.0,12562.69,44922.05,545.34,547.275,1,259483.0,257987.0,0.9942346897484836,1496.0,11813220.69,8242008.709999999,-0.17806886716537995,0.0006669407519071919,UP,UP
2024-07-02,14,33.0,1756.0,25691.0,1856.73,30.0,5156.0,20430.0,5199.52,335.0,4382.0,190719.0,6108.15,153.0,8415.0,70530.13,13256.22,2413.0,13449.0,908001.24,37835.909999999996,4574.0,34476.0,1260820.93,137849.41,7446.0,30744.0,1281011.91,287435.28,31856.0,72480.0,2856924.9,1721685.85,59199.0,55622.0,1773862.73,3421481.5700000003,57545.0,4089.0,420535.76,560912.23,20469.0,254.0,50517.14,59640.39,545.34,547.64,1,184053.0,230823.0,1.2541115874218072,-46770.0,8859044.74,6253261.260000001,-0.1724279193393667,0.002428602731721639,UP,UP
2024-07-02,15,162.0,753.0,132522.44000000003,753.99,103.0,2499.0,73352.12,2517.3199999999997,110.0,4949.0,64609.86,5069.92,172.0,8031.0,85928.9,9512.9,620.0,17850.0,245878.58000000002,18398.89,2600.0,35246.0,754930.28,76255.63,3972.0,36065.0,795285.37,143708.09,19909.0,66959.0,2147715.46,607570.27,66878.0,101194.0,2246152.39,3348601.0300000003,73503.0,6081.0,351522.86,493619.52,18411.0,190.0,18567.53,39896.81,545.34,548.97,1,186440.0,279817.0,1.5008420939685645,-93377.0,6916465.790000001,4745904.37,-0.18611666327008564,0.0011111718308833133,UP,UP
2024-07-03,9,178.0,9653.0,94140.14000000001,32755.34,663.0,15436.0,281847.22,89285.85,1864.0,17154.0,603055.73,184438.51,2166.0,25880.0,530379.96,529850.59,15602.0,65070.0,2444754.9699999997,2610977.83,62038.0,86102.0,6011465.28,6310033.78,96381.0,20578.0,4919195.05,2538651.71,58467.0,1941.0,1356967.2,377964.88,28212.0,740.0,277948.83,211836.4,22068.0,43.0,92253.01,16286.0,27514.0,34.0,54483.41,16062.98,549.01,549.58,2,315153.0,242631.0,0.7698831995895014,72522.0,16666490.8,12918143.870000001,-0.12669911161015102,0.0004194111867244185,UP,UP
2024-07-03,10,422.0,11886.0,239413.62,38995.57,353.0,18157.0,162327.13,87864.37000000001,1163.0,23953.0,417114.51,183732.05000000002,3489.0,35627.0,951134.04,500458.57,9498.0,73509.0,1688534.58,1959298.98,61825.0,134814.0,6485340.91,6939551.14,142409.0,61323.0,7306096.72,5880242.15,79610.0,6642.0,1630246.42,1108680.75,38610.0,1202.0,283403.75,312137.24,14859.0,291.0,50686.55,99124.05,2678.0,34.0,4414.8,15246.0,549.01,549.8105,2,354916.0,367438.0,1.0352815877558768,-12522.0,19218713.03,17125330.87,-0.05759904334696069,0.001044905471976149,UP,UP
2024-07-03,11,48.0,5953.0,28660.04,10982.36,463.0,5827.0,229119.58,14303.27,589.0,22711.0,238329.53,88104.08,679.0,26606.0,211440.55,154569.43,2899.0,45352.0,629225.22,451251.27999999997,14414.0,82127.0,1829228.51,1857149.6300000001,77153.0,71810.0,4739025.64,3720380.67,68857.0,18064.0,1458790.81,1942194.62,54504.0,1301.0,333148.16,259652.92,7924.0,402.0,17943.54,118096.42,1757.0,64.0,2069.7,25526.0,549.01,550.385,2,229287.0,280217.0,1.222123365039352,-50930.0,9716981.279999997,8642210.68,-0.058541280157731926,0.0018078254312890118,UP,UP
2024-07-03,12,184.0,9980.0,129940.18,10061.43,400.0,16270.0,237663.18,16519.02,782.0,13782.0,380613.09,18693.36,1294.0,15620.0,499802.31,23983.61,3170.0,32085.0,898088.09,67971.54,8158.0,76082.0,1548417.35,329999.85,40793.0,72338.0,3970229.0500000003,991372.39,106177.0,84182.0,4098005.11,3588167.7600000002,84416.0,12714.0,737412.02,1058034.87,51382.0,1542.0,137672.44,289477.49,1714.0,317.0,1714.0,92632.99,549.01,551.38,2,298470.0,334912.0,1.1220960230504837,-36442.0,12639556.819999998,6486914.3100000005,-0.32168205353622265,0.0001450905001995734,FLAT,FLAT
2024-07-03,13,10.0,325.0,7363.0,325.0,69.0,67.0,43974.8,69.0,34.0,2954.0,18477.01,3023.8,549.0,876.0,241038.45999999996,880.14,3614.0,2054.0,1237106.38,2126.9100000000003,600.0,5724.0,144290.51,5949.200000000001,2236.0,3650.0,306242.22,9977.51,12639.0,7071.0,612175.48,78525.56,9479.0,1163.0,54775.1,82140.55,564.0,261.0,564.0,41863.6,11.0,90.0,11.0,24040.0,549.01,551.46,2,29805.0,24235.0,0.8131186042673002,5570.0,2666017.96,248921.27,-0.8292099763600118,0.001940303920501821,UP,UP
2024-07-05,9,316.0,13316.0,189966.45,91749.68,427.0,13479.0,218250.5,129599.64,1058.0,15671.0,427724.88,227609.37,1303.0,20353.0,407108.04,464074.79000000004,6273.0,42420.0,1391477.65,1557156.49,25281.0,76885.0,3853633.3,4714473.34,71175.0,40876.0,6762403.8,3970282.86,38462.0,4399.0,1965030.69,645293.44,29042.0,706.0,740815.86,150898.66,20605.0,678.0,235949.24,221489.16,24968.0,107.0,136405.39,43058.009999999995,551.46,552.53,4,218910.0,228890.0,1.0455895116712548,-9980.0,16328765.8,12215685.44,-0.14409386698021726,-0.0003167248837166384,FLAT,FLAT
2024-07-05,10,333.0,15358.0,204209.82,91610.03,541.0,12838.0,285502.02,102268.77,1913.0,19885.0,797277.22,255249.27,1771.0,24765.0,585849.88,493767.8,5132.0,57220.0,1208735.51,1962720.97,29659.0,88554.0,4435175.59,4921537.7700000005,97061.0,78686.0,8963937.28,6368321.48,60855.0,18297.0,3049459.51,2362154.12,33710.0,2121.0,727711.9,411316.69,24837.0,685.0,212375.71,196763.55000000002,21183.0,358.0,93812.22,140795.35,551.46,552.355,4,276995.0,318767.0,1.1508041661396387,-41772.0,20564046.659999996,17306505.800000004,-0.08601778026451072,0.0021363072661602553,UP,UP
2024-07-05,11,219.0,5379.0,154564.0,12611.289999999999,359.0,4840.0,218671.38,18272.93,639.0,7559.0,324191.16,41954.87,883.0,12861.0,378220.82,103887.67,2113.0,22353.0,668849.23,287950.61,4275.0,29992.0,929354.53,646111.05,23349.0,37084.0,2980451.55,1509107.18,56856.0,50696.0,4292673.67,3556340.58,54958.0,12030.0,2059789.61,1326892.09,42416.0,2019.0,517333.29,407307.49,40776.0,574.0,194275.99,162547.47,551.46,553.535,4,226843.0,185387.0,0.8172480526186956,41456.0,12718375.229999999,8072983.2299999995,-0.22342897934913372,-5.4197114906867065e-05,FLAT,FLAT
2024-07-05,12,92.0,433.0,68248.87,895.15,175.0,1190.0,111025.02,3078.51,1561.0,2138.0,858562.3200000001,7015.7699999999995,481.0,4620.0,217454.22,21611.2,3902.0,16461.0,1352911.3699999999,120153.83,1437.0,21890.0,363306.04,241406.12,2998.0,18459.0,478252.71,385962.82,37212.0,48284.0,3293954.2,2229414.94,48345.0,30876.0,1816345.8,2985012.3000000003,21234.0,2260.0,269025.87,373467.11,19311.0,604.0,93418.02,149907.46000000002,551.46,553.505,4,136748.0,147215.0,1.0765422529025905,-10467.0,8922504.44,6517925.210000001,-0.15573266317753293,0.0013821013360312644,UP,UP
2024-07-05,13,266.0,484.0,209954.02,739.36,141.0,786.0,97209.98,1742.03,1056.0,3660.0,625184.99,8710.0,536.0,5264.0,273460.7,16665.29,846.0,9662.0,346805.64999999997,48489.67,1138.0,14623.0,351348.14,101531.56999999999,2976.0,24090.0,622607.1799999999,298683.60000000003,45573.0,60953.0,5857750.34,1681680.3699999999,72328.0,35276.0,4118753.34,1812497.83,54144.0,9549.0,1094071.71,988831.6900000001,22921.0,651.0,127213.36,121850.73000000001,551.46,554.27,4,201925.0,164998.0,0.8171251702373796,36927.0,13724359.41,5081422.140000001,-0.45958936867473826,0.0001804174860627899,FLAT,FLAT
2024-07-05,14,194.0,585.0,160074.12,742.03,195.0,3632.0,141073.93,6259.139999999999,451.0,4211.0,279348.25,5965.26,134.0,2172.0,69852.87,4206.88,866.0,7456.0,370490.55,19542.309999999998,626.0,9658.0,199774.4,35932.76,1615.0,18151.0,358729.19,111130.63,27436.0,38250.0,3389760.64,468910.05,52431.0,59054.0,2786148.12,2224014.39,37926.0,31998.0,556473.41,3111511.79,22532.0,1339.0,82809.57,252067.83,551.46,554.37,4,144406.0,176506.0,1.2222899325497396,-32100.0,8394535.05,6240283.07,-0.14720046141576873,0.0005952703068348582,UP,UP
2024-07-05,15,955.0,871.0,832030.09,873.0,830.0,3615.0,641707.02,3728.9700000000003,356.0,2757.0,232523.75,3118.63,902.0,8443.0,501724.56,8655.869999999999,2009.0,12503.0,908223.13,13495.13,1537.0,12065.0,551067.0700000001,14315.300000000001,3585.0,12604.0,911211.39,25761.329999999998,9994.0,34562.0,1584064.19,131111.4,37885.0,40471.0,2537062.61,519610.76,69680.0,33885.0,1025358.21,1778011.04,30815.0,2304.0,60489.55,341362.24,551.46,554.7,4,158548.0,164080.0,1.0348916416477352,-5532.0,9785461.57,2840043.67,-0.5501100960296659,0.0,FLAT,FLAT
