date,hour_et,open,high,low,close,volume,rsi_14,ema_20,ema_50,macd_line,macd_signal,macd_hist,plus_di_14,minus_di_14,adx_14,atr_14,keltner_mid_20,keltner_upper_20,keltner_lower_20,obv,cmf_20,sma_200,sma_50,momentum_score_total,ret_fwd_20d,y,y_syn
2023-01-03,4,384.0,386.83,384.0,386.83,146402.0,0.0,386.83,386.83,0.0,0.0,0.0,0.0,0.0,0.0,2.829999999999984,386.83,,,0.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,5,386.63,386.64,385.62,386.06,115731.0,0.0,386.75666666666666,386.7998039215686,-0.06142450142448297,-0.012284900284896594,-0.049139601139586375,0.0,0.0,0.0,2.714285714285698,386.75666666666666,,,-115731.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,6,385.9,386.0,383.52,383.96,129478.0,0.0,386.49031746031744,386.68843906189926,-0.27637048400578124,-0.06510201702907352,-0.2112684669767077,0.0,5.551778835257492,7.142857142855855,2.701836734693864,386.49031746031744,,,-245209.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,7,383.95,384.44,383.34,384.31,401021.0,3.0185424752014285,386.28266817838244,386.5951669418248,-0.41370570700814824,-0.13482275502488847,-0.27888295198325974,0.0,5.880099381959214,13.775510204079222,2.5874198250728755,386.28266817838244,,,155812.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,8,383.53,386.7204,382.77,384.69,897999.0,6.32469321712729,386.130985494727,386.52045451273364,-0.4862765431836351,-0.2051135126566378,-0.2811630305269973,6.067014211791652,5.262097612089174,13.299034600231522,2.6847755518533845,386.130985494727,,,1053811.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,9,384.66,386.43,381.6601,381.71,9847162.0,4.910833035116397,385.70993925713395,386.3318092377244,-0.7753132206068472,-0.3191534542466797,-0.4561597663601675,5.337556052584316,7.427109690970002,13.518376880387232,2.833713012435286,385.70993925713395,,,-8793351.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,10,381.77,382.58,380.07,382.04,12417780.0,7.380020363119016,385.36042123264497,386.1635029931078,-0.9666061932819616,-0.4486440020537361,-0.5179621912282255,4.997076891050024,10.994431905294597,15.231590809434913,2.810590654404194,385.36042123264497,,,3624429.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,11,382.0499,382.33,378.65,379.07,10173982.0,5.896087891139189,384.7613334962026,385.8853264051428,-1.3423872266509989,-0.6273926469731888,-0.7149945796778101,4.539834115195976,13.519204452028122,17.695213291316836,2.872691321946752,384.7613334962026,,,-6549553.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,12,379.11,380.02,377.831,378.61,6329921.0,5.70475925933944,384.17549221085,385.6000194872941,-1.6581998627474945,-0.8335540901280499,-0.8246457726194446,4.288463140859798,14.84228024525127,20.371754512847833,2.8238562275219814,384.17549221085,,,-12879474.0,0.0,,,0.0,0.06610916189621953,UP,UP
2023-01-03,13,378.63,379.99,378.34,379.83,5667761.0,13.70306616813862,383.76163580981665,385.3737442132826,-1.7894126133900272,-1.0247257947804456,-0.7646868186095817,4.104001722044324,14.20386317541329,22.85711421855518,2.7400093541275563,383.76163580981665,389.04749580981667,378.47577580981664,-7211713.0,-0.15925729740395148,,,0.0,0.06610916189621953,UP,UP
