ticker
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
COST
PEP
NFLX
ADBE
CSCO
AMD
CMCSA
TXN
QCOM
AMAT
INTU
ISRG
PDD
INTC
AMGN
GILD
ADP
BKNG
PYPL
LRCX
MRVL
MU
MDLZ
SBUX
ADI
REGN
CHTR
KDP
NXPI
MELI
PANW
CDNS
KLAC
VRTX
ROP
CRWD
FTNT
SNPS
CTAS
CSX
MNST
FISV
XEL
ORLY
ASML
TEAM
ABNB
ZS
DDOG
WDAY
CPRT
ODFL
MAR
ROST
CTSH
PAYX
KHC
VRSK
PCAR
IDXX
FAST
EA
ILMN
DLTR
EXC
ALGN
EBAY
SPLK
BKR
CDW
AZN
ANSS
SIRI
SWKS
TTD
MRNA
WBD
BIIB
LULU
GFS
ON
PTC
MDB
OKTA
NET
U
ZS
