ticker
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
JPM
V
UNH
LLY
JNJ
XOM
HD
PG
BAC
COST
MA
MRK
ORCL
CSCO
ADBE
PEP
KO
ABBV
CVX
WMT
ACN
MCD
CRM
TMO
INTU
LIN
TXN
IBM
QCOM
AMD
AMGN
HON
NOW
PM
CAT
GS
MS
SBUX
LOW
MDT
RTX
GE
BKNG
DE
ADI
ISRG
SCHW
SPGI
PLD
ELV
BLK
ADP
LMT
PFE
MO
ETN
GILD
BA
ZTS
CCI
TGT
FISV
CSX
MU
MMC
PANW
REGN
NKE
KDP
MDLZ
NFLX
APD
CL
CI
BDX
C
SO
DUK
DHR
AMAT
LRCX
KLAC
SNPS
CDNS
VRTX
ORLY
ROST
MAR
AEP
EXC
PGR
CMCSA
BK
USB
FDX
TFC
EOG
EL
KHC
MET
HCA
ITW
APTV
ED
AON
MNST
WELL
WM
DG
TRV
MCO
NOC
PRU
ALL
PSX
CSGP
INVH
SPG
CTAS
ODFL
ROK
EMR
HPQ
HAL
ANET
ACGL
EQIX
FTNT
CRWD
DDOG
ABNB
WDAY
PAYX
PCAR
IDXX
ALGN
VRSK
CPRT
CEG
XEL
OKE
NEM
NSC
ETR
WMB
AMP
KR
SRE
PPG
PH
TT
KMB
HSY
AVB
ECL
LUV
DAL
UAL
HIG
RF
CFG
KEY
MTB
HBAN
ZION
FITB
NTRS
DFS
COF
AXP
ADSK
ANSS
CDW
FAST
EBAY
PYPL
INTC
WDC
STX
MRVL
ON
QRVO
NXPI
NTAP
MCHP
MPWR
TER
SHOP
SNOW
ZM
DOCU
ROKU
SE
ETSY
PINS
TWLO
FSLY
RBLX
AFRM
COIN
HOOD
APP
BILL
GLBE
GTLB
ESTC
NU
MNDY
PATH
ASAN
HUBS
PAYC
DT
PD
NEWR
AYX
PLTR
ENPH
SEDG
RUN
FSLR
SPWR
BLDP
PLUG
NIO
XPEV
LI
LCID
RIVN
CHPT
IONQ
AEHR
WOLF
ARM
ALNY
ARGX
NTLA
CRSP
BEAM
EXAS
NVAX
DGX
LH
SAGE
GMAB
BNTX
FICO
BBY
ULTA
TSCO
AZO
XRAY
