date,hour_et,open,high,low,close,volume,rsi_14,ema_20,macd_line,macd_signal,macd_hist,atr_14,bb_mid_20,bb_upper_20,bb_lower_20,obv,cmf_20,iv_realized_spread_20,iv_term_slope,iv_rank_52w,iv_percentile_52w,atm_iv_zscore,momentum_score_total,ret_fwd_20d,y,y_syn
2023-01-03,4,384.0,386.83,384.0,386.83,146402.0,0.0,386.83,0.0,0.0,0.0,2.829999999999984,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,5,386.63,386.64,385.62,386.06,115731.0,0.0,386.75666666666666,-0.06142450142448297,-0.012284900284896594,-0.049139601139586375,2.714285714285698,0.0,0.0,0.0,-115731.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,6,385.9,386.0,383.52,383.96,129478.0,0.0,386.49031746031744,-0.27637048400578124,-0.06510201702907352,-0.2112684669767077,2.701836734693864,0.0,0.0,0.0,-245209.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,7,383.95,384.44,383.34,384.31,401021.0,3.0185424752014285,386.28266817838244,-0.41370570700814824,-0.13482275502488847,-0.27888295198325974,2.5874198250728755,0.0,0.0,0.0,155812.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,8,383.53,386.7204,382.77,384.69,897999.0,6.32469321712729,386.130985494727,-0.4862765431836351,-0.2051135126566378,-0.2811630305269973,2.6847755518533845,0.0,0.0,0.0,1053811.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,9,384.66,386.43,381.6601,381.71,9847162.0,4.910833035116397,385.70993925713395,-0.7753132206068472,-0.3191534542466797,-0.4561597663601675,2.833713012435286,0.0,0.0,0.0,-8793351.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,10,381.77,382.58,380.07,382.04,12417780.0,7.380020363119016,385.36042123264497,-0.9666061932819616,-0.4486440020537361,-0.5179621912282255,2.810590654404194,0.0,0.0,0.0,3624429.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,11,382.0499,382.33,378.65,379.07,10173982.0,5.896087891139189,384.7613334962026,-1.3423872266509989,-0.6273926469731888,-0.7149945796778101,2.872691321946752,0.0,0.0,0.0,-6549553.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,12,379.11,380.02,377.831,378.61,6329921.0,5.70475925933944,384.17549221085,-1.6581998627474945,-0.8335540901280499,-0.8246457726194446,2.8238562275219814,0.0,0.0,0.0,-12879474.0,0.0,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,13,378.63,379.99,378.34,379.83,5667761.0,13.70306616813862,383.76163580981665,-1.7894126133900272,-1.0247257947804456,-0.7646868186095817,2.7400093541275563,0.0,0.0,0.0,-7211713.0,-0.15925729740395148,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,14,379.84,380.75,378.09,380.0399,7717424.0,15.038334653092079,383.40718478031033,-1.8550782999232638,-1.1907962958090093,-0.6642820041142545,2.734294400261304,0.0,0.0,0.0,505711.0,-0.06962776139307944,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,15,380.02,381.3,379.82,380.84,13545784.0,20.112543551437142,383.1626909917093,-1.8215596406552663,-1.3169489647782608,-0.5046106758770055,2.6447019430997836,0.0,0.0,0.0,14051495.0,0.020423497357584912,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,16,380.84,380.93,380.16,380.69,5530349.0,19.872914994192726,382.9271966115465,-1.786505880366576,-1.410860347895924,-0.375645532470652,2.510794661449798,0.0,0.0,0.0,8521146.0,0.04743787196926948,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,17,380.61,380.7,380.48,380.61,37817.0,19.737846285089205,382.70651121997065,-1.7450648330707281,-1.477701244930885,-0.26736358813984307,2.347166471346239,0.0,0.0,0.0,8483329.0,0.047507525984167874,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,18,380.58,380.79,380.31,380.79,103833.0,21.038246875085235,382.52398634187824,-1.6783510229890908,-1.5178312005425263,-0.1605198224465645,2.213797437678652,0.0,0.0,0.0,8587162.0,0.0488611646751277,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-03,19,380.79,381.11,380.63,380.77,116968.0,20.997539141636466,382.3569400236041,-1.60855130257778,-1.5359752209495772,-0.07257608162820284,2.0899547635587497,0.0,0.0,0.0,8470194.0,0.04811707753520376,0.0,,,,,0.0,0.06610916189621953,UP,UP
2023-01-04,4,382.5,382.62,382.0,382.38,35003.0,32.346099663289934,382.35913621183226,-1.4071007945337897,-1.5102003356664198,0.10309954113263009,2.0728151375902693,0.0,0.0,0.0,8505197.0,0.048202028854706085,0.0,,,,,0.0,0.07159904534606178,UP,UP
